Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
77197,"Assassin's Apprentice (Farseer Trilogy, #1)",Robin Hobb,"Hobb, Robin",,"=""055357339X""","=""9780553573398""",0,4.19,Spectra Books,Mass Market Paperback,435,1996,1995,,2026/04/05,"to-read, next","to-read (#26), next (#4)",to-read,,,,0,0
203578847,"Wind and Truth (The Stormlight Archive, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""1250319188""","=""9781250319180""",0,4.37,Tor Books,Hardcover,1344,2024,2024,,2026/04/05,"to-read, next","to-read (#25), next (#3)",to-read,,,,0,0
57945316,Babel,R.F. Kuang,"Kuang, R.F.",,"=""0063021420""","=""9780063021426""",0,4.14,Harper Voyager,Hardcover,544,2022,2022,,2025/11/10,"to-read, next","to-read (#4), next (#2)",to-read,,,,0,0
22878967,"The Shadow of What Was Lost (The Licanius Trilogy, #1)",James Islington,"Islington, James",,"=""099258020X""","=""9780992580209""",0,4.14,Aslaradis Publishing,Paperback,595,2014,2014,,2025/08/15,"to-read, next","to-read (#2), next (#1)",to-read,,,,0,0
41886271,The Sword of Kaigen,M.L. Wang,"Wang, M.L.",,"=""""","=""""",0,4.43,Amazon Digital Services,Kindle Edition,651,2019,2019,,2025/09/27,currently-reading,currently-reading (#2),currently-reading,,,,1,0
210300489,Isles of the Emberdark,Brandon Sanderson,"Sanderson, Brandon",,"=""1938570502""","=""9781938570506""",0,4.50,Dragonsteel Entertainment,Leather Bound,465,2025,2025,,2026/04/04,to-read,to-read (#24),to-read,,,,0,0
228665,"The Eye of the World (The Wheel of Time, #1)",Robert Jordan,"Jordan, Robert",,"=""0812511816""","=""9780812511819""",4,4.19,Tor Books,Mass Market Paperback,800,1990,1990,2026/04/04,2026/03/17,,,read,,,,1,0
248244988,"Blightfall (Riftwake, #1)",Brandon Sanderson,"Sanderson, Brandon",Janci Patterson,"=""0593707060""","=""9780593707067""",0,4.57,Delacorte Press,Library Binding,496,2026,2026,,2026/03/24,to-read,to-read (#23),to-read,,,,0,0
19691,"The Hunt for Red October (Jack Ryan, #3)",Tom Clancy,"Clancy, Tom",,"=""0425172902""","=""9780425172902""",0,4.12,Berkley Trade,Mass Market Paperback,432,1999,1984,,2026/03/23,to-read,to-read (#22),to-read,,,,0,0
43890641,Hamnet,Maggie O'Farrell,"O'Farrell, Maggie",,"=""1472223799""","=""9781472223791""",0,4.21,Tinder Press,Hardcover,372,2020,2020,,2026/01/02,"jubie, currently-reading","jubie (#5), currently-reading (#1)",currently-reading,,,,1,0
16065004,"Shadows of Self (Mistborn, #5)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765378558""","=""9780765378552""",5,4.26,Tor Books,Hardcover,376,2015,2015,2026/03/16,2026/03/14,,,read,,,,1,0
41806382,"Jade War (The Green Bone Saga, #2)",Fonda Lee,"Lee, Fonda",,"=""0316440930""","=""""",5,4.38,Orbit,Kindle Edition,608,2019,2019,2026/03/12,2026/03/05,,,read,,,,1,0
30558257,"Unsouled (Cradle, #1)",Will Wight,"Wight, Will",,"=""""","=""""",0,4.14,Hidden Gnome Publishing,Kindle Edition,294,2016,2016,,2026/03/12,to-read,to-read (#21),to-read,,,,0,0
60531416,"Yumi and the Nightmare Painter (Hoid's Travails, #2)",Brandon Sanderson,"Sanderson, Brandon",Aliya Chen,"=""1938570375""","=""9781938570377""",5,4.43,Dragonsteel Entertainment,Hardcover,480,2023,2023,2026/03/05,2026/03/05,,,read,,,,1,0
77262337,"Tomorrow, and Tomorrow, and Tomorrow",Gabrielle Zevin,"Zevin, Gabrielle",,"=""""","=""""",4,4.11,Knopf ,Kindle Edition,399,2023,2022,2026/02/24,2026/01/02,,,read,,,,1,0
228537678,"I, Medusa",Ayana Gray,"Gray, Ayana",,"=""0593733770""","=""9780593733776""",4,4.04,Random House,Kindle Edition,336,2025,2025,2026/02/16,2025/11/20,,,read,,,,1,0
204944666,"The Alloy of Law (Mistborn, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.19,Tor Books,Kindle Edition,338,2011,2011,2026/02/14,2026/01/04,,,read,,,,1,0
222531902,The White Octopus Hotel,Alexandra  Bell,"Bell, Alexandra",,"=""""","=""9798217091805""",4,3.94,Del Rey,Kindle Edition,355,2025,2025,2026/02/11,2025/09/06,,,read,,,,1,0
49021976,"Rhythm of War (The Stormlight Archive, #4)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765326388""","=""9780765326386""",4,4.57,Tor Books,Hardcover,1232,2020,2020,2026/02/03,2026/01/04,,,read,,,,1,0
54659324,"Dungeon Crawler Carl (Dungeon Crawler Carl, #1)",Matt Dinniman,"Dinniman, Matt",,"=""""","=""""",4,4.47,Dandy House,Kindle Edition,464,2020,2020,,2025/12/17,,,read,,,,2,0
58659471,Beautiful Little Fools,Jillian Cantor,"Cantor, Jillian",,"=""""","=""""",4,4.01,Harper Perennial,Kindle Edition,336,2022,2022,2026/01/17,2026/01/02,,,read,,,,1,0
222361609,Wild ​Reverence,Rebecca   Ross,"Ross, Rebecca",,"=""1250373360""","=""9781250373366""",4,4.31,Saturday Books,Kindle Edition,526,2025,2025,2026/01/11,2025/09/24,,,read,,,,1,0
210191671,Katabasis,R.F. Kuang,"Kuang, R.F.",,"=""0063021498""","=""9780063021495""",4,3.75,Harper Voyager,Kindle Edition,567,2025,2025,2025/12/28,2025/09/24,,,read,,,,1,0
50202953,Piranesi,Susanna Clarke,"Clarke, Susanna",,"=""163557563X""","=""9781635575637""",0,4.21,Bloomsbury,Hardcover,245,2020,2020,,2025/11/10,to-read,to-read (#20),to-read,,,,2,0
215020997,Bury Our Bones in the Midnight Soil,V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""1035064642""","=""9781035064649""",0,3.92,Tor,Hardcover,535,2025,2025,,2026/01/02,to-read,to-read (#19),to-read,,,,0,0
233800039,"The Devils (The Devils, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""125088005X""","=""9781250880055""",0,4.22,Tor Books,Hardcover,547,2025,2025,,2026/01/02,to-read,to-read (#18),to-read,,,,0,0
139400713,Martyr!,Kaveh Akbar,"Akbar, Kaveh",,"=""0593537610""","=""9780593537619""",0,4.15,Knopf,Hardcover,331,2024,2024,,2026/01/02,to-read,to-read (#17),to-read,,,,0,0
59366244,I'm Glad My Mom Died,Jennette McCurdy,"McCurdy, Jennette",,"=""1982185821""","=""9781982185824""",0,4.43,Simon & Schuster,Hardcover,304,2022,2022,,2026/01/02,"to-read, jubie","to-read (#16), jubie (#9)",to-read,,,,0,0
40916679,"A Good Girl's Guide to Murder (A Good Girl's Guide to Murder, #1)",Holly  Jackson,"Jackson, Holly",,"=""1405293187""","=""9781405293181""",0,4.28,Electric Monkey,Paperback,433,2019,2019,,2026/01/02,"to-read, jubie","to-read (#15), jubie (#8)",to-read,,,,0,0
61214136,The Collected Regrets of Clover,Mikki Brammer,"Brammer, Mikki",,"=""1250284392""","=""9781250284396""",0,4.16,St Martin's Press,Hardcover,320,2023,2023,,2026/01/02,"to-read, jubie","to-read (#14), jubie (#7)",to-read,,,,0,0
62919356,"Immortal Longings (Flesh and False Gods, #1)",Chloe Gong,"Gong, Chloe",,"=""1668000229""","=""9781668000229""",0,3.53,S&S/Saga Press,Hardcover,372,2023,2023,,2026/01/02,"to-read, jubie","to-read (#13), jubie (#6)",to-read,,,,0,0
64623481,The September House,Carissa Orlando,"Orlando, Carissa",,"=""0593548612""","=""9780593548615""",0,3.86,Berkley,Hardcover,344,2023,2023,,2026/01/02,"to-read, jubie","to-read (#12), jubie (#4)",to-read,,,,0,0
231174541,10 Marchfield Square,Nicola  Whyte,"Whyte, Nicola",,"=""1526673053""","=""9781526673053""",0,3.82,Raven Books,Hardcover,400,2025,2025,,2026/01/02,"to-read, jubie","to-read (#11), jubie (#3)",to-read,,,,0,0
489732,The Picture of Dorian Gray,Oscar Wilde,"Wilde, Oscar",Robert Mighall,"=""0141439572""","=""9780141439570""",0,4.14,Penguin Classics,Paperback,253,2003,1890,,2026/01/02,"to-read, jubie","to-read (#10), jubie (#2)",to-read,,,,0,0
248596,Something Wicked This Way Comes,Ray Bradbury,"Bradbury, Ray",,"=""0380729407""","=""9780380729401""",0,3.89,Harper Voyager,Mass Market Paperback,293,1998,1962,,2026/01/02,"to-read, jubie","to-read (#9), jubie (#1)",to-read,,,,0,0
51603444,"Before the Coffee Gets Cold (Before the Coffee Gets Cold, #1)",Toshikazu Kawaguchi,"Kawaguchi, Toshikazu",,"=""1488077215""","=""9781488077210""",4,3.65,Hanover Square Press,Kindle Edition,227,2020,2015,2025/12/31,2025/11/11,for-jubie-2026,for-jubie-2026 (#6),read,,,,1,0
50009069,"The Blade Itself (The First Law, #1)",Joe Abercrombie,"Abercrombie, Joe",,"=""0316387339""","=""9780316387330""",3,4.22,Orbit,Kindle Edition,536,2015,2006,2025/12/29,2025/08/15,,,read,,,,1,0
36681361,"Jade City (The Green Bone Saga, #1)",Fonda Lee,"Lee, Fonda",,"=""""","=""""",4,4.06,Orbit ,Kindle Edition,529,2017,2017,2025/12/22,2025/09/27,for-jubie-2026,for-jubie-2026 (#5),read,,,,1,0
46777,"Tithe (Modern Faerie Tales, #1)",Holly Black,"Black, Holly",,"=""0689867042""","=""9780689867040""",4,3.69,Simon Pulse,Paperback,272,2004,2002,2025/12/13,2024/12/30,,,read,,,,1,0
60784549,In the Lives of Puppets,T.J. Klune,"Klune, T.J.",,"=""125021744X""","=""9781250217448""",4,3.90,Tor Books,Hardcover,432,2023,2023,2023/12/19,2023/12/18,for-jubie-2026,for-jubie-2026 (#4),read,,,,1,0
22055262,"A Darker Shade of Magic (Shades of Magic, #1)",V.E. Schwab,"Schwab, V.E.",Victoria Schwab,"=""0765376458""","=""9780765376459""",5,4.03,Tor,Hardcover,400,2015,2015,2024/01/08,2023/09/19,for-jubie-2026,for-jubie-2026 (#3),read,,,,1,0
59729041,"One Dark Window (The Shepherd King, #1)",Rachel Gillig,"Gillig, Rachel",,"=""""","=""""",5,4.26,Orbit,Kindle Edition,419,2022,2022,2024/10/18,2024/10/14,,,read,,,,1,0
55225045,"The Poppy War (The Poppy War, #1)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",4,4.16,Harper Voyager,Kindle Edition,545,2018,2018,2025/05/02,2025/04/26,for-jubie-2026,for-jubie-2026 (#2),read,,,,1,0
123224254,"Mistborn: The Final Empire (Mistborn, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",4,4.49,Tor Books,Kindle Edition,558,2010,2006,2025/06/06,2025/03/22,,,read,,,,1,0
59356616,"Six of Crows (Six of Crows, #1)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",4,4.45,Henry Holt and Co. (BYR),Kindle Edition,479,2015,2015,2025/08/05,2025/05/22,,,read,,,,1,0
58416952,"The Will of the Many (Hierarchy, #1)",James Islington,"Islington, James",,"=""1982141190""","=""9781982141196""",4,4.58,Gallery / Saga Press,Kindle Edition,639,2023,2023,2025/10/02,2025/06/06,,,read,,,,1,0
68320207,Tress of the Emerald Sea,Brandon Sanderson,"Sanderson, Brandon",Howard Lyon,"=""""","=""""",5,4.31,Dragonsteel Entertainment,Kindle Edition,486,2023,2023,2025/12/05,2025/11/10,,,read,,,,1,0
62066104,I Hope This Finds You Well,Natalie Sue,"Sue, Natalie",,"=""006332038X""","=""9780063320383""",4,3.73,William Morrow,Kindle Edition,349,2024,2024,2025/12/10,2024/12/30,,,read,,,,1,0
52382796,"Shōgun (Asian Saga, #1)",James Clavell,"Clavell, James",,"=""1982603844""","=""9781982603847""",0,4.41,Blackstone Publishing,Paperback,1152,2020,1975,,2025/12/10,to-read,to-read (#8),to-read,,,,0,0
2459785,"In the Woods (Dublin Murder Squad, #1)",Tana French,"French, Tana",,"=""""","=""""",4,3.78,Penguin Books,Paperback,448,2008,2007,2025/12/09,2024/12/30,,,read,,,,1,0
195607804,Argylle,Elly Conway,"Conway, Elly",,"=""0593600029""","=""9780593600023""",4,3.28,Bantam,Kindle Edition,368,2024,2024,2025/12/04,2024/12/30,,,read,,,,1,0
208033237,"Oathbringer (The Stormlight Archive, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.60,Tor Books,Kindle Edition,1242,,2017,2025/12/01,2025/11/17,,,read,,,,1,0
41193,A Thousand Acres,Jane Smiley,"Smiley, Jane",,"=""1400033837""","=""9781400033836""",0,3.83,Vintage,Paperback,371,2003,1991,,2025/11/22,to-read,to-read (#7),to-read,,,,0,0
222376635,"Fallen City (Fallen City Duology, #1)",Adrienne Young,"Young, Adrienne",,"=""1250794196""","=""9781250794192""",0,3.59,Saturday Books,Hardcover,416,2025,2025,,2025/11/20,to-read,to-read (#6),to-read,,,,0,0
231126811,Best Offer Wins,Marisa Kashino,"Kashino, Marisa",,"=""1250400546""","=""9781250400543""",0,3.72,Celadon Books,Hardcover,288,2025,2025,,2025/11/20,to-read,to-read (#5),to-read,,,,0,0
225577776,"Thief of Night (The Charlatan Duology, #2)",Holly Black,"Black, Holly",,"=""1250812232""","=""9781250812230""",5,3.99,Tor Books,Kindle Edition,280,2025,2025,2025/11/17,2025/11/13,,,read,,,,1,0
54774986,Sharp Objects,Gillian Flynn,"Flynn, Gillian",,"=""""","=""""",5,4.00,Broadway Books,Kindle Edition,272,2020,2006,2025/11/12,2024/12/30,,,read,,,,1,0
21425079,"Golden Son (Red Rising Saga, #2)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.50,Del Rey,Kindle Edition,446,2015,2015,2025/03/30,2025/03/18,,,read,,,,1,0
61884781,Maeve Fly,C.J. Leede,"Leede, C.J.",,"=""1250857856""","=""9781250857859""",4,3.66,Tor Nightfire,Hardcover,288,2023,2023,2025/11/10,2024/12/30,,,read,,,,1,0
18966806,"Morning Star (Red Rising Saga, #3)",Pierce Brown,"Brown, Pierce",,"=""0345539842""","=""9780345539847""",5,4.55,Del Rey,Hardcover,524,2016,2016,2025/04/12,2025/04/09,for-jubie-2026,for-jubie-2026 (#1),read,"If I could give 6 stars, I would",,,1,0
54493401,Project Hail Mary,Andy Weir,"Weir, Andy",,"=""0593135202""","=""9780593135204""",5,4.51,Ballantine Books,Hardcover,476,2021,2021,2025/09/24,2025/07/20,,,read,,,,1,0
208455470,Blood Over Bright Haven,M.L. Wang,"Wang, M.L.",,"=""059387336X""","=""9780593873366""",5,4.32,Del Rey,Kindle Edition,422,2023,2023,2025/09/27,2025/08/15,,,read,,,,1,0
42800305,"The Dragon Republic (The Poppy War, #2)",R.F. Kuang,"Kuang, R.F.",,"=""""","=""""",5,4.34,Harper Voyager,Kindle Edition,675,2019,2019,2025/11/07,2025/11/02,,,read,,,,1,0
208033371,"Words of Radiance (The Stormlight Archive, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.76,Tor Books,Kindle Edition,1088,,2014,2025/11/02,2025/10/20,,,read,“Honor is dead… but I’ll see what I can do.” ⭐️⭐️⭐️⭐️⭐️⭐️,,,1,0
123224266,"The Hero of Ages (Mistborn, #3)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.56,Tor Books,Kindle Edition,586,2023,2014,2025/10/20,2025/10/13,,,read,,,,1,0
53463056,"The Way of Kings (The Stormlight Archive, #1)",Brandon Sanderson,"Sanderson, Brandon",,"=""""","=""""",5,4.66,Tor Books,Kindle Edition,1137,2010,2010,2025/10/13,2025/08/15,,,read,,,,1,0
194984166,"A Game of Gods (Hades Saga, #3)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""1728259703""","=""9781728259703""",5,4.00,Bloom Books,Kindle Edition,587,2023,2023,2025/09/09,2025/05/22,,,read,,,,1,0
107524920,"A Touch of Chaos (Hades x Persephone Saga, #4)",Scarlett St.  Clair,"Clair, Scarlett St.",,"=""1728259754""","=""9781728259758""",5,3.92,Bloom Books,Kindle Edition,584,2024,2024,2025/09/12,2025/05/22,,,read,,,,1,0
58854438,A Touch of Malice (Hades X Persephone #3),Scarlett St.  Clair,"Clair, Scarlett St.",,"=""1728258480""","=""9781728258485""",5,3.93,Bloom Books,Kindle Edition,466,2021,2021,2025/09/06,2025/03/01,,,read,,,,1,0
40189879,"The Traitor Baru Cormorant (The Masquerade, #1)",Seth Dickinson,"Dickinson, Seth",,"=""""","=""""",4,4.04,Tor Books,Kindle Edition,401,2015,2015,2025/09/04,2025/08/10,,,read,,,,1,0
52780201,"Dark Heir (Dark Rise, #2)",C.S. Pacat,"Pacat, C.S.",,"=""0062946196""","=""9780062946195""",5,4.52,Quill Tree Books,Kindle Edition,496,2023,2023,2025/08/31,2025/08/28,,,read,,,,1,0
214333691,Sunrise on the Reaping (The Hunger Games),Suzanne Collins,"Collins, Suzanne",,"=""1546171479""","=""9781546171478""",5,4.50,Scholastic Press,Kindle Edition,400,2025,2025,2025/08/28,2025/05/22,,,read,,,,1,0
28937572,"Crooked Kingdom (Six of Crows, #2)",Leigh Bardugo,"Bardugo, Leigh",,"=""""","=""""",5,4.57,Henry Holt and Company,Kindle Edition,560,2016,2016,2025/08/26,2025/05/22,,,read,,,,1,0
57383685,"Dark Rise (Dark Rise, #1)",C.S. Pacat,"Pacat, C.S.",,"=""""","=""""",4,4.15,Quill Tree Books,Kindle Edition,463,2021,2021,2025/08/23,2025/08/21,,,read,,,,1,0
68429,"The Well of Ascension (Mistborn, #2)",Brandon Sanderson,"Sanderson, Brandon",,"=""0765316889""","=""9780765316882""",5,4.38,Tor Books,Hardcover,590,2007,2007,2025/08/20,2025/08/16,,,read,,,,1,0
240019794,Everybody's Perfect,Jo Walton,"Walton, Jo",,"=""1250314054""","=""9781250314055""",0,3.83,Tor Books,Hardcover,272,2026,2026,,2025/08/17,to-read,to-read (#3),to-read,,,,0,0
58159316,"Glow (The Plated Prisoner, #4)",Raven Kennedy,"Kennedy, Raven",,"=""""","=""""",4,4.12,Raven Kennedy,Kindle Edition,738,2022,2022,2025/08/16,2025/03/01,,,read,,,,1,0
61755286,"Light Bringer (Red Rising Saga, #6)",Pierce Brown,"Brown, Pierce",,"=""0425285987""","=""9780425285985""",5,4.77,Del Rey,Kindle Edition,800,2023,2023,2025/08/09,2025/05/22,,,read,,,,1,0
100183621,The Unmaking of June Farrow,Adrienne Young,"Young, Adrienne",,"=""0593598687""","=""9780593598689""",4,4.11,Dell,Kindle Edition,341,2023,2023,2025/07/31,2024/12/30,,,read,,,,1,0
37562956,Dark Age (Red Rising Saga #5),Pierce Brown,"Brown, Pierce",,"=""""","=""""",5,4.51,Del Rey,Kindle Edition,784,2019,2019,2025/07/26,2025/05/22,,,read,,,,1,0
214208274,"Fearless (The Powerless Trilogy, #3)",Lauren  Roberts,"Roberts, Lauren",,"=""1665955481""","=""9781665955485""",4,4.05,Simon & Schuster Books for Young Readers,Kindle Edition,608,2025,2025,2025/07/11,2025/05/22,,,read,,,,1,0
33361943,"Iron Gold (Red Rising Saga, #4)",Pierce Brown,"Brown, Pierce",,"=""""","=""""",4,4.21,Del Rey,Kindle Edition,605,2018,2018,2025/06/21,2025/05/22,,,read,,,,1,0
199352704,The Sins on Their Bones: Book One of The Cursed Crown series (The Cursed Crown Duology 1),Laura R. Samotin,"Samotin, Laura R.",,"=""1039007570""","=""9781039007574""",4,3.78,Random House Canada,Kindle Edition,447,2024,2024,2025/06/10,2025/05/26,,,read,,,,1,0
205335957,"The Knight and the Moth (The Stonewater Kingdom, #1)",Rachel Gillig,"Gillig, Rachel",,"=""0356522962""","=""9780356522968""",0,4.24,Orbit,Hardcover,385,2025,2025,,2025/06/10,to-read,to-read (#1),to-read,,,,0,0
210868783,"The Ballad of Songbirds and Snakes (The Hunger Games, #0)",Suzanne Collins,"Collins, Suzanne",,"=""""","=""""",5,3.99,Scholastic Press,Kindle Edition,541,2024,2020,2025/05/27,2024/12/30,,,read,,,,1,0
208841368,"Emily Wilde's Compendium of Lost Tales (Emily Wilde, #3)",Heather Fawcett,"Fawcett, Heather",,"=""0356519198""","=""9780356519197""",4,4.08,Orbit,Hardcover,368,2025,2025,2025/05/18,2025/05/05,,,read,,,,1,0
58912891,The Very Secret Society of Irregular Witches,Sangu Mandanna,"Mandanna, Sangu",,"=""""","=""""",4,4.03,Berkley ,Kindle Edition,334,2022,2022,2025/04/26,2025/01/23,,,read,,,,1,0
207724101,A Sea of Unspoken Things,Adrienne Young,"Young, Adrienne",,"=""0593598717""","=""9780593598719""",4,3.67,Dell,Kindle Edition,281,2025,2025,2025/05/04,2025/05/02,,,read,,,,1,0
